Ticker,Summary,Label,Confidence,URL
GME,We will update this page as soon as possible.,POSITIVE,0.95669204,https://finance.yahoo.com/news/gamestops-gme-preliminary-results-highlight-160700244.html
GME,We will update this page as soon as possible.,POSITIVE,0.95669204,https://finance.yahoo.com/news/why-gamestop-gme-stock-trading-153229310.html
GME,We will update this page as soon as possible.,POSITIVE,0.95669204,https://finance.yahoo.com/news/gamestop-releases-q1-results-ahead-111604723.html
GME,The stock is trading well below its 52-week high of $64.83. This sharp drop has left many investors questioning the future of GameStop,NEGATIVE,0.998848557,https://finance.yahoo.com/news/gamestop-gme-down-13-month-124300979.html
GME,Shares of the video game retailer have been moving higher in recent days.,POSITIVE,0.996278942,https://finance.yahoo.com/news/gamestop-gme-rises-higher-market-214519002.html
GME,Your information may be shared with third parties.,NEGATIVE,0.990354538,https://www.google.com/search?q%3Dyahoo%2Bfinance%2BGME%26tbm%3Dnws%26pccc%3D1
GME,Video game retailer’s stock has lost more than half its value in the past five years.,NEGATIVE,0.999750674,https://finance.yahoo.com/news/gamestop-should-ditch-retail-and-become-a-holding-company-like-warren-buffetts-berkshire-hathaway-133106692.html
GME,We will update this page as soon as possible.,POSITIVE,0.95669204,https://finance.yahoo.com/news/why-gamestop-gme-shares-trading-162132483.html
GME,We will update this page as soon as possible.,POSITIVE,0.95669204,https://finance.yahoo.com/news/gamestop-stock-nyse-gme-game-000228694.html
GME,We will update this page as soon as possible.,POSITIVE,0.95669204,https://finance.yahoo.com/news/why-gamestop-gme-shares-trading-151315370.html
GME,Shares of the video game retailer are up more than 20% this year.,POSITIVE,0.980719626,https://finance.yahoo.com/news/investors-heavily-search-gamestop-corp-130015751.html
TSLA,We will update this page as soon as possible.,POSITIVE,0.95669204,https://finance.yahoo.com/news/live/stock-market-today-stocks-fall-from-records-as-tesla-nvidia-lead-tech-sell-off-200114295.html
TSLA,Shares set to extend gains on Wednesday. Tesla reported record vehicle deliveries in its first quarter,POSITIVE,0.939271688,https://finance.yahoo.com/news/tesla-stock-surges-as-quarterly-vehicle-deliveries-beat-wall-street-estimates-201123452.html
TSLA,Your information may be shared with third parties.,NEGATIVE,0.990354538,https://www.google.com/search?q%3Dyahoo%2Bfinance%2BTSLA%26tbm%3Dnws%26pccc%3D1
TSLA,Musk’s commitment to expanding Tesla’s EV lineup has kept it on track.,POSITIVE,0.999344051,https://finance.yahoo.com/news/tesla-stock-nasdaq-tsla-comeback-010835403.html
TSLA,Tesla is 4th on Cramer’s list of top 10 stocks.,POSITIVE,0.976738036,https://finance.yahoo.com/news/jim-cramer-tesla-inc-nasdaq-120919586.html
TSLA,Return on equity (ROE) is one of the most important financial indicators.,POSITIVE,0.995496869,https://finance.yahoo.com/news/tesla-inc-nasdaq-tsla-stocks-130014699.html
TSLA,"Carmaker’s self-drive platform to be a ‘game-changer,’ Wood says. Shares to rise as much as 10-fold, she says",POSITIVE,0.993870258,https://finance.yahoo.com/news/tesla-stock-surge-10-fold-000001701.html
TSLA,Shares of the electric carmaker have been on a roll in recent weeks.,POSITIVE,0.998689711,https://finance.yahoo.com/news/tesla-stock-notches-9th-straight-day-of-gains-201451600.html
TSLA,We will update this page as soon as possible.,POSITIVE,0.95669204,https://finance.yahoo.com/video/tesla-investors-shouldnt-fret-robotaxi-214539400.html
TSLA,A look back at some of the quirkier snippets from the news in recent times,POSITIVE,0.997189701,https://finance.yahoo.com/news/teslas-valuation-is-turning-heads-chart-of-the-week-100642187.html
TSLA,"I’m still neutral on the electric-car maker, but valuations are hard to justify.",NEGATIVE,0.997322381,https://finance.yahoo.com/news/behind-tesla-stock-nasdaq-tsla-073001274.html
BTC,A look back at some of the quirkier snippets from the news in recent times,POSITIVE,0.997189701,https://finance.yahoo.com/news/bitcoin-cements-legitimate-status-as-wall-street-struggles-toward-a-new-consensus-morning-brief-100008050.html
BTC,First Mover takes a look at the latest moves in crypto markets.,POSITIVE,0.983063281,https://finance.yahoo.com/news/first-mover-americas-bitcoin-trades-120206485.html
BTC,Surging interest in Bitcoin futures has also boosted prices.,POSITIVE,0.999266684,https://finance.yahoo.com/news/bitcoin-may-target-71-500-060059796.html
BTC,A profitable crypto address has made a fresh investment in BTC.,POSITIVE,0.999379754,https://finance.yahoo.com/news/profit-making-crypto-address-makes-062000734.html
BTC,Markets have been volatile since the beginning of the year. Bitcoin (BTC) has been in focus as the world’s most popular cryptocurrency witnessed an unprecedented rise,POSITIVE,0.995199263,https://finance.yahoo.com/news/4-solid-stocks-gain-bitcoin-132000064.html
BTC,We will update this page as soon as possible.,POSITIVE,0.95669204,https://finance.yahoo.com/video/bitcoin-rises-above-63-000-203629337.html
BTC,We will update this page as soon as possible.,POSITIVE,0.95669204,https://finance.yahoo.com/video/hugh-hendry-bitcoin-triple-why-111300673.html
BTC,WazirX's native token WRX slumped 15% in dollar terms.,NEGATIVE,0.999693394,https://finance.yahoo.com/news/wazirx-hack-sends-shib-wrx-094952828.html
BTC,The The cryptocurrency hit a one-month high after hitting a record low on Friday.,NEGATIVE,0.998417377,https://finance.yahoo.com/news/bitcoin-tops-66k-cryptos-rally-174840410.html
BTC,We will update this page as soon as possible.,POSITIVE,0.95669204,https://finance.yahoo.com/video/trump-backs-bitcoin-small-caps-220620606.html
BTC,Your information may be shared with third parties.,NEGATIVE,0.990354538,https://www.google.com/search?q%3Dyahoo%2Bfinance%2BBTC%26tbm%3Dnws%26pccc%3D1
